Point,ID,Year,Visit,Time,Date,Weather,Wind
26-1,34,2016,2,9:01,6/17/16,1,2
28-1,35,2016,2,6:01,6/2/16,1,0
29-1,36,2016,2,9:31,6/2/16,1,1
30-1,37,2016,2,6:02,6/7/16,0,0
32-1,38,2016,2,5:32,6/7/16,4,0
34-1,39,2016,2,7:07,6/8/16,1,1
35-1,40,2016,2,5:43,6/15/16,1,0
36-1,41,2016,2,9:38,6/7/16,1,1
68-1,42,2016,2,6:43,6/15/16,1,0
44-1,43,2016,2,7:00,6/15/16,1,0
43-1,44,2016,2,7:05,6/24/16,0,0
41-1,45,2016,2,6:38,6/17/16,1,0
42b-1,46,2016,2,6:59,6/17/16,1,0
42a-1,47,2016,2,7:19,6/17/16,1,0
72-1,48,2016,2,6:10,6/24/16,0,0
73-1,49,2016,2,5:50,6/24/16,0,0
48-1,50,2016,2,7:26,6/28/16,2,0
65-1,51,2016,2,6:18,6/2/16,1,0
71-1,52,2016,2,8:01,6/7/16,0,1
70-1,53,2016,2,8:24,6/7/16,0,1
55-1,54,2016,2,5:36,6/8/16,0,1
51-1,55,2016,2,7:49,6/1/16,1,1
49-1,57,2016,2,8:56,6/6/16,1,1
49-2,58,2016,2,9:27,6/6/16,2,1
59-2,59,2016,2,7:11,6/7/16,0,0
59-1,60,2016,2,6:33,6/7/16,0,0
60-1,61,2016,2,6:00,6/6/16,1,0
61-1,62,2016,2,5:34,6/6/16,2,0
66b-1,63,2016,2,7:49,6/6/16,1,1
66a-1,64,2016,2,6:41,6/6/16,2,0
66a-2,65,2016,2,7:05,6/6/16,2,1
50a,66,2016,2,8:20,6/6/16,1,1
74-1,68,2016,2,8:42,6/2/16,1,1
74-2,69,2016,2,8:59,6/2/16,1,1
64b-1,70,2016,2,6:46,6/2/16,1,0
64a-1,71,2016,2,7:12,6/2/16,0,1
63-1,72,2016,2,7:39,6/2/16,0,1
62ab-1,73,2016,2,8:09,6/2/16,1,1
47e-1,74,2016,2,5:26,6/2/16,1,0
47d-1,75,2016,2,9:26,6/1/16,1,2
47c-1,76,2016,2,9:02,6/1/16,1,1
47a-1,77,2016,2,8:34,6/1/16,1,0
52-1,78,2016,2,6:42,6/1/16,1,0
52-2,79,2016,2,6:13,6/1/16,2,0
1-1,1,2015,1,6:44,5/20/15,0,2
2a-1,2,2015,1,9:24,5/10/15,2,1
2b-1,3,2015,1,6:22,5/20/15,0,2
2c-1,4,2015,1,5:42,5/20/15,0,3
2d-1,5,2015,1,5:57,5/20/15,0,2
3-1,6,2015,1,8:36,5/10/15,2,0
3-2,7,2015,1,8:54,5/10/15,2,1
4-1,8,2015,1,7:23,5/2/15,1,0
5-1,9,2015,1,7:48,5/9/15,2,0
6-1,10,2015,1,8:12,5/9/15,2,1
6-2,11,2015,1,8:27,5/9/15,2,2
6-3,12,2015,1,8:44,5/9/15,2,3
7-1,13,2015,1,5:48,5/10/15,4,0
8-1,14,2015,1,6:08,5/10/15,4,0
8-2,15,2015,1,6:28,5/10/15,4,0
8-3,16,2015,1,6:46,5/10/15,4,0
9-1,17,2015,1,6:11,5/3/15,1,0
10-1,18,2015,1,6:55,5/3/15,1,0
11-1,19,2015,1,8:23,5/3/15,1,0
